"package","clazz","func","full_signature","internal_signature","location","parameter_types","return_type","doc"
"boa.src","utility","cwmp_solarClose","void cwmp_solarClose(void)","cwmp_solarClose()","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:2769:0","void","void","[IF 0	// pkshih: within tr104] close the connection from solar to cwmpclient"
"boa.src","utility","getWlanMib","int getWlanMib(int wlanRootIndex, int wlanValIndex, int id, void *value)","getWlanMib(int, int, int, void)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:3066:0","int;int;int;void","int","[IF defined(CHEAT_COMPRESS_MIB_SETTING)] "
"boa.src","utility","setWlanMib","int setWlanMib(int wlanRootIndex, int wlanValIndex, int id, void *value)","setWlanMib(int, int, int, void)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:3084:0","int;int;int;void","int","[IF defined(CHEAT_COMPRESS_MIB_SETTING)] "
"boa.src","utility","getWlanBssInfo","int getWlanBssInfo(int wlanRootIndex, int wlanValIndex, void *bss)","getWlanBssInfo(int, int, void)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:3103:0","int;int;void","int","[IF defined(CHEAT_COMPRESS_MIB_SETTING)] "
"boa.src","utility","getInFlags","int getInFlags(char *interface, int *flags)","getInFlags(char, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:4039:0","char;int","int","[IF defined(MOD_FOR_TR098_LANDEVICE)] "
"boa.src","utility","updateWlanifState","WLAN_STATE_T updateWlanifState(char *wlanif_name)","updateWlanifState(char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:4374:0","char","WLAN_STATE_T","[IF defined(CONFIG_REPEATER_WPS_SUPPORT) || defined(POWER_CONSUMPTION_SUPPORT)] "
"boa.src","utility","sendP2PWscConfirm","int sendP2PWscConfirm(char *interface, P2P_WSC_CONFIRM_Tp pP2PWscConfirm)","sendP2PWscConfirm(char, P2P_WSC_CONFIRM_Tp)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:4642:0","char;P2P_WSC_CONFIRM_Tp","int","[IFNDEF NO_ACTION] "
"boa.src","utility","storage_UpdateSambaConf","void storage_UpdateSambaConf()","storage_UpdateSambaConf()","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:4707:0","void","void","[IFNDEF NO_ACTION] "
"boa.src","fmpocketap","pocketAPProcess","int pocketAPProcess()","pocketAPProcess()","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmpocketap.c:45:0","void","int","[IF defined(CONFIG_DOMAIN_NAME_QUERY_SUPPORT)] "
"boa.src","hash","djb2_hash","static unsigned djb2_hash(const char *str)","djb2_hash(const char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/hash.c:131:0","const char","unsigned","[IFDEF WANT_SDBM_HASH] "
"boa.src","hash","fnv1a_hash","static unsigned fnv1a_hash(const char *str)","fnv1a_hash(const char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/hash.c:163:0","const char","unsigned","[IFDEF WANT_DJB2_HASH]  hash.c:152: warning: width of integer constant may change on other systems with -traditional /"
"boa.src","read","get_shm_id","int get_shm_id()","get_shm_id()","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/read.c:42:0","void","int","[IF defined(CONFIG_APP_FWD)] "
"boa.src","read","clear_fwupload_shm","int clear_fwupload_shm(int shmid)","clear_fwupload_shm(int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/read.c:47:0","int","int","[IF defined(CONFIG_APP_FWD)] "
"boa.src","log","log_error_mesg","void log_error_mesg(const char *file, int line, const char *func, const char *mesg)","log_error_mesg(const char, int, const char, const char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/log.c:252:0","const char;int;const char;const char","void","[IFDEF SETVBUF_REVERSED] "
"boa.src","log","log_error_mesg_fatal","void log_error_mesg_fatal(const char *file, int line, const char *func, const char *mesg)","log_error_mesg_fatal(const char, int, const char, const char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/log.c:261:0","const char;int;const char;const char","void","[IFDEF HAVE_FUNC] "
"boa.src","log","log_error_mesg","void log_error_mesg(const char *file, int line, const char *mesg)","log_error_mesg(const char, int, const char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/log.c:272:0","const char;int;const char","void","[IFDEF HAVE_FUNC] "
"boa.src","log","log_error_mesg_fatal","void log_error_mesg_fatal(const char *file, int line, const char *mesg)","log_error_mesg_fatal(const char, int, const char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/log.c:281:0","const char;int;const char","void","[IFDEF HAVE_FUNC] "
"boa.src","fmipv6","get_v6type","void get_v6type()","get_v6type()","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:49:0","void","void","[IFDEF CONFIG_APP_BOA_CUSTOM_TRENDNET] "
"boa.src","fmipv6","getUlaAddv6Info","int getUlaAddv6Info(addr6CfgParam_t *entry)","getUlaAddv6Info(addr6CfgParam_t)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:138:0","addr6CfgParam_t","int","[IFDEF CONFIG_APP_BOA_CUSTOM_TRENDNET] "
"boa.src","fmipv6","set_ula_addr6","int set_ula_addr6(request *wp, char *path, char *query, addr6CfgParam_t *addr6)","set_ula_addr6(request, char, char, addr6CfgParam_t)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:668:0","request;char;char;addr6CfgParam_t","int","[IFDEF CONFIG_IPV6_CE_ROUTER_SUPPORT] "
"boa.src","fmipv6","create_ula_prefix","void create_ula_prefix(addr6CfgParam_t *ula_prefix)","create_ula_prefix(addr6CfgParam_t)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:711:0","addr6CfgParam_t","void","[IFDEF CONFIG_IPV6_CE_ROUTER_SUPPORT] "
"boa.src","fmipv6","create_eui64","void create_eui64(char *mac, char *eui)","create_eui64(char, char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:739:0","char;char","void","[IFDEF CONFIG_IPV6_CE_ROUTER_SUPPORT] "
"boa.src","fmipv6","del_PreAddr6Param","void del_PreAddr6Param(addrIPv6CfgParam_t addrIPv6CfgParam,uint32 _changFlag)","del_PreAddr6Param(addrIPv6CfgParam_t, uint32)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:863:0","addrIPv6CfgParam_t;uint32","void","[IFNDEF NO_ACTION] "
"boa.src","fmipv6","formDnsv6","void formDnsv6(request *wp, char *path, char *query)","formDnsv6(request, char, char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:1262:0","request;char;char","void","[IFNDEF NO_ACTION] "
"boa.src","fmipv6","formIPv6Addr","void formIPv6Addr(request *wp, char *path, char *query)","formIPv6Addr(request, char, char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:1769:0","request;char;char","void","[IFNDEF NO_ACTION] "
"boa.src","fmipv6","simplify_ipv6_addr","void simplify_ipv6_addr(char *done, char *addr_in)","simplify_ipv6_addr(char, char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:3007:0","char;char","void","[IFDEF CONFIG_APP_BOA_CUSTOM_TRENDNET] eded"
"boa.src","fmipv6","simplify_substr","void simplify_substr(char * str, char *restr)","simplify_substr(char *, char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:3060:0","char *;char","void","[IFDEF CONFIG_APP_BOA_CUSTOM_TRENDNET] "
"boa.src","fmipv6","getIPv6BasicInfo","int getIPv6BasicInfo(request *wp, int argc, char **argv)","getIPv6BasicInfo(request, int, char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:3073:0","request;int;char","int","[IFDEF CONFIG_APP_BOA_CUSTOM_TRENDNET] "
"boa.src","fmipv6","formAdvIpv6","int formAdvIpv6(request *wp, char * path, char * query)","formAdvIpv6(request, char *, char *)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:3234:0","request;char *;char *","int","[IFDEF CONFIG_APP_BOA_CUSTOM_TRENDNET] "
"boa.src","fmipv6","caldeli","int caldeli(char *p)","caldeli(char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:3304:0","char","int","[IFDEF CONFIG_APP_BOA_CUSTOM_TRENDNET] "
"boa.src","fmipv6","genIp","void genIp(int colon, char *v6ip, char *head, char *tail)","genIp(int, char, char, char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:3320:0","int;char;char;char","void","[IFDEF CONFIG_APP_BOA_CUSTOM_TRENDNET] "
"boa.src","fmipv6","v6IpRebuild","int v6IpRebuild(char *v6ip, void *v6ip_in)","v6IpRebuild(char, void)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmipv6.c:3354:0","char;void","int","[IFDEF CONFIG_APP_BOA_CUSTOM_TRENDNET] "
"boa.src","get","DEBUG","0 DEBUG(DEBUG_RANGE)","DEBUG(DEBUG_RANGE)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/get.c:671:0","DEBUG_RANGE","0","[IFDEF ALLOW_LOCAL_REDIRECT] "
"boa.src","cgi","add_to_common_env","void add_to_common_env(char *key, char *value)","add_to_common_env(char, char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/cgi.c:125:0","char;char","void","[IFDEF USE_NCSA_CGI_ENV] "
"boa.src","cgi","create_argv","static void create_argv(request * req, char **aargv)","create_argv(request *, char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/cgi.c:343:0","request *;char","void","[IFDEF ACCEPT_ON] "
"boa.src","fmget","get_langpack_crc","uint32_t get_langpack_crc(unsigned char *crc_str)","get_langpack_crc(unsigned char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmget.c:467:0","unsigned char","uint32_t","[IFDEF MTDBLK_LANG] Calculate"
"boa.src","fmget","convert_bin_to_str","static void convert_bin_to_str(unsigned char *bin, int len, char *out)","convert_bin_to_str(unsigned char, int, char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmget.c:609:0","unsigned char;int;char","void","[IFDEF MTDBLK_LANG] "
"boa.src","fmget","checkwan","void checkwan(char *waninfo)","checkwan(char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmget.c:657:0","char","void","[IFDEF WIFI_SIMPLE_CONFIG] "
"boa.src","fmget","isConnectPPP","int isConnectPPP()","isConnectPPP()","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmget.c:10061:0","void","int","[IFDEF HOME_GATEWAY] //////////////////////////////////////////////////////////////////////////"
"boa.src","fmget","DUTinfo_file","int DUTinfo_file()","DUTinfo_file()","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/fmget.c:10499:0","void","int","[IF defined(CONFIG_RTL_819X) && !defined(CONFIG_WLAN_WDS_SUPPORT)// keith. disabled if no this mode in 96c] "
"boa.src","signals","bulk","void bulk(int dummy)","bulk(int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/signals.c:298:0","int","void","[IF defined(CONFIG_DOMAIN_NAME_QUERY_SUPPORT)] "
"boa.src","sublog","main","int main(int argc, char *argv[])","main(int, *argv[])","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/sublog.c:116:0","int;*argv[]","int","[IFDEF HAVE_HERROR] "
